id,type,cx,cy,mass,shape,dl_fx,dl_fy,dl_mz,ll_fx,ll_fy,ll_mz
19,mortar,5.1666667,20.0000000,0.2500000,element_19.json,0,0.2500000,0,0.2500000,0,0
20,mortar,6.5000000,20.3333333,0.2500000,element_20.json,0,0.2500000,0,0.2500000,0,0
21,mortar,5.8333333,20.0000000,0.2500000,element_21.json,0,0.2500000,0,0.2500000,0,0
22,mortar,6.1666667,20.0000000,0.2500000,element_22.json,0,0.2500000,0,0.2500000,0,0
23,mortar,7.5000000,20.3333333,0.2500000,element_23.json,0,0.2500000,0,0.2500000,0,0
24,mortar,6.8333333,20.0000000,0.2500000,element_24.json,0,0.2500000,0,0.2500000,0,0
25,mortar,7.1666667,20.0000000,0.2500000,element_25.json,0,0.2500000,0,0.2500000,0,0
26,mortar,8.5000000,20.3333333,0.2500000,element_26.json,0,0.2500000,0,0.2500000,0,0
27,mortar,7.8333333,20.0000000,0.2500000,element_27.json,0,0.2500000,0,0.2500000,0,0
28,mortar,8.1666667,20.0000000,0.2500000,element_28.json,0,0.2500000,0,0.2500000,0,0
29,mortar,9.5000000,20.3333333,0.2500000,element_29.json,0,0.2500000,0,0.2500000,0,0
30,mortar,8.8333333,20.0000000,0.2500000,element_30.json,0,0.2500000,0,0.2500000,0,0
31,mortar,9.1666667,20.0000000,0.2500000,element_31.json,0,0.2500000,0,0.2500000,0,0
32,mortar,10.5000000,20.3333333,0.2500000,element_32.json,0,0.2500000,0,0.2500000,0,0
33,mortar,9.8333333,20.0000000,0.2500000,element_33.json,0,0.2500000,0,0.2500000,0,0
34,mortar,10.1666667,20.0000000,0.2500000,element_34.json,0,0.2500000,0,0.2500000,0,0
35,mortar,11.5000000,20.3333333,0.2500000,element_35.json,0,0.2500000,0,0.2500000,0,0
36,mortar,10.8333333,20.0000000,0.2500000,element_36.json,0,0.2500000,0,0.2500000,0,0
37,mortar,11.1666667,20.0000000,0.2500000,element_37.json,0,0.2500000,0,0.2500000,0,0
38,mortar,12.5000000,20.3333333,0.2500000,element_38.json,0,0.2500000,0,0.2500000,0,0
39,mortar,11.8333333,20.0000000,0.2500000,element_39.json,0,0.2500000,0,0.2500000,0,0
40,mortar,12.1666667,20.0000000,0.2500000,element_40.json,0,0.2500000,0,0.2500000,0,0
41,mortar,13.5000000,20.3333333,0.2500000,element_41.json,0,0.2500000,0,0.2500000,0,0
42,mortar,12.8333333,20.0000000,0.2500000,element_42.json,0,0.2500000,0,0.2500000,0,0
43,mortar,13.1666667,20.0000000,0.2500000,element_43.json,0,0.2500000,0,0.2500000,0,0
44,mortar,14.5000000,20.3333333,0.2500000,element_44.json,0,0.2500000,0,0.2500000,0,0
45,mortar,13.8333333,20.0000000,0.2500000,element_45.json,0,0.2500000,0,0.2500000,0,0
46,mortar,14.1666667,20.0000000,0.2500000,element_46.json,0,0.2500000,0,0.2500000,0,0
47,mortar,15.5000000,20.3333333,0.2500000,element_47.json,0,0.2500000,0,0.2500000,0,0
48,mortar,14.8333333,20.0000000,0.2500000,element_48.json,0,0.2500000,0,0.2500000,0,0
49,mortar,15.1666667,20.0000000,0.2500000,element_49.json,0,0.2500000,0,0.2500000,0,0
50,mortar,16.5000000,20.3333333,0.2500000,element_50.json,0,0.2500000,0,0.2500000,0,0
51,mortar,15.8333333,20.0000000,0.2500000,element_51.json,0,0.2500000,0,0.2500000,0,0
