id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
2463,31.0100000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,95,0.9800000,0.4900000,741,554,friction,0.7000000,0,0,0
555,31.9900000,20.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,95,2,0.9800000,0.4900000,740,2464,friction,0.7000000,0,0,0
2464,31.9900000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,95,0.9800000,0.4900000,741,555,friction,0.7000000,0,0,0
556,31.9929289,20.4929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,95,99,0.6871068,0.3435534,744,577,friction,0.7000000,0,0,0
577,31.9929289,20.4929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,99,95,0.6871068,0.3435534,745,556,friction,0.7000000,0,0,0
557,31.5070711,20.0070711,-0.7071068,0.7071068,0.7071068,0.7071068,95,99,0.6871068,0.3435534,744,582,friction,0.7000000,0,0,0
582,31.5070711,20.0070711,0.7071068,-0.7071068,0.7071068,0.7071068,99,95,0.6871068,0.3435534,745,557,friction,0.7000000,0,0,0
558,31.4929289,20.0070711,0.7071068,0.7071068,-0.7071068,0.7071068,95,97,0.6871068,0.3435534,746,569,friction,0.7000000,0,0,0
569,31.4929289,20.0070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,97,95,0.6871068,0.3435534,747,558,friction,0.7000000,0,0,0
560,31.0000000,20.4900000,-1.0000000,0.0000000,0.0000000,-1.0000000,96,97,0.9800000,0.4900000,750,567,friction,0.7000000,0,0,0
567,31.0000000,20.4900000,1.0000000,-0.0000000,0.0000000,-1.0000000,97,96,0.9800000,0.4900000,751,560,friction,0.7000000,0,0,0
561,31.0000000,19.5100000,-1.0000000,-0.0000000,0.0000000,1.0000000,96,97,0.9800000,0.4900000,750,566,friction,0.7000000,0,0,0
566,31.0000000,19.5100000,1.0000000,0.0000000,0.0000000,1.0000000,97,96,0.9800000,0.4900000,751,561,friction,0.7000000,0,0,0
562,30.9929289,19.5070711,0.7071068,0.7071068,-0.7071068,0.7071068,96,372,0.6871068,0.3435534,754,2215,friction,0.7000000,0,0,0
2215,30.9929289,19.5070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,372,96,0.6871068,0.3435534,755,562,friction,0.7000000,0,0,0
563,30.5070711,19.9929289,0.7071068,0.7071068,0.7071068,-0.7071068,96,372,0.6871068,0.3435534,754,2220,friction,0.7000000,0,0,0
2220,30.5070711,19.9929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,372,96,0.6871068,0.3435534,755,563,friction,0.7000000,0,0,0
565,31.0070711,19.5070711,-0.7071068,0.7071068,0.7071068,0.7071068,97,371,0.6871068,0.3435534,758,2212,friction,0.7000000,0,0,0
2212,31.0070711,19.5070711,0.7071068,-0.7071068,0.7071068,0.7071068,371,97,0.6871068,0.3435534,759,565,friction,0.7000000,0,0,0
570,31.4929289,19.9929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,97,371,0.6871068,0.3435534,758,2213,friction,0.7000000,0,0,0
2213,31.4929289,19.9929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,371,97,0.6871068,0.3435534,759,570,friction,0.7000000,0,0,0
571,32.0070711,20.4929289,0.7071068,0.7071068,0.7071068,-0.7071068,98,100,0.6871068,0.3435534,770,586,friction,0.7000000,0,0,0
586,32.0070711,20.4929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,100,98,0.6871068,0.3435534,771,571,friction,0.7000000,0,0,0
572,32.0100000,20.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,98,2,0.9800000,0.4900000,764,2465,friction,0.7000000,0,0,0
2465,32.0100000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,98,0.9800000,0.4900000,765,572,friction,0.7000000,0,0,0
573,32.9900000,20.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,98,2,0.9800000,0.4900000,764,2466,friction,0.7000000,0,0,0
2466,32.9900000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,98,0.9800000,0.4900000,765,573,friction,0.7000000,0,0,0
574,32.9929289,20.4929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,98,102,0.6871068,0.3435534,768,595,friction,0.7000000,0,0,0
595,32.9929289,20.4929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,102,98,0.6871068,0.3435534,769,574,friction,0.7000000,0,0,0
575,32.5070711,20.0070711,-0.7071068,0.7071068,0.7071068,0.7071068,98,102,0.6871068,0.3435534,768,600,friction,0.7000000,0,0,0
600,32.5070711,20.0070711,0.7071068,-0.7071068,0.7071068,0.7071068,102,98,0.6871068,0.3435534,769,575,friction,0.7000000,0,0,0
576,32.4929289,20.0070711,0.7071068,0.7071068,-0.7071068,0.7071068,98,100,0.6871068,0.3435534,770,587,friction,0.7000000,0,0,0
587,32.4929289,20.0070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,100,98,0.6871068,0.3435534,771,576,friction,0.7000000,0,0,0
578,32.0000000,20.4900000,-1.0000000,0.0000000,0.0000000,-1.0000000,99,100,0.9800000,0.4900000,774,585,friction,0.7000000,0,0,0
585,32.0000000,20.4900000,1.0000000,-0.0000000,0.0000000,-1.0000000,100,99,0.9800000,0.4900000,775,578,friction,0.7000000,0,0,0
579,32.0000000,19.5100000,-1.0000000,-0.0000000,0.0000000,1.0000000,99,100,0.9800000,0.4900000,774,584,friction,0.7000000,0,0,0
584,32.0000000,19.5100000,1.0000000,0.0000000,0.0000000,1.0000000,100,99,0.9800000,0.4900000,775,579,friction,0.7000000,0,0,0
580,31.9929289,19.5070711,0.7071068,0.7071068,-0.7071068,0.7071068,99,371,0.6871068,0.3435534,778,2209,friction,0.7000000,0,0,0
2209,31.9929289,19.5070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,371,99,0.6871068,0.3435534,779,580,friction,0.7000000,0,0,0
581,31.5070711,19.9929289,0.7071068,0.7071068,0.7071068,-0.7071068,99,371,0.6871068,0.3435534,778,2214,friction,0.7000000,0,0,0
