id,center,mass,dl,ll,type,displacement,shape_file,contps
837,"[0.0027739962671139533, 0.01726693642436857]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[-6.030849779357645e-08, 7.906144865705573e-08, 1.5816088939418404e-05]",element_837.json,[]
838,"[0.029166796515210557, 0.017047494582288183]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00018035560886000952, -9.09230719384248e-05, 0.4931318321914907]",element_838.json,[]
839,"[0.028406726957817627, 0.0161331317212089]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[8.537813031405604e-05, -9.369101972874623e-05, 0.12210398584117732]",element_839.json,[]
840,"[0.01927466957554909, 0.01685900539742599]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00011566361623972968, -4.549385186451141e-05, 0.4190224334593061]",element_840.json,[]
841,"[0.018588146732278616, 0.016026275588797243]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[8.803015788507601e-05, 3.564652179992822e-06, 0.14158729525324995]",element_841.json,[]
842,"[0.009365502264120739, 0.01679928311549435]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[-4.122608702340999e-05, -0.00012630649454704337, 0.40667759456780234]",element_842.json,[]
843,"[0.008500117810806672, 0.01592647926670061]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[0.00010113941801897514, -4.237054189723549e-05, 0.14400684818750978]",element_843.json,[]
844,"[0.05983214592985732, 0.017718008033675577]",2.7023654000000003e-08,"[0, 4.771836823320001e-07, 0]","[0, 0, 0]",mortar,"[8.191740648055186e-05, 5.069785134671131e-05, 0.017494455798689898]",element_844.json,[]
845,"[0.05914030826362701, 0.016604314707570258]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[0.00010347480921387223, 4.340099936289734e-05, -0.0014495095988453425]",element_845.json,[]
846,"[0.04969524571336949, 0.01734569872256803]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00011726794657202893, 3.266470055578608e-05, 0.025336267797546268]",element_846.json,[]
847,"[0.04911081904511177, 0.016465763618018808]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[0.00010463971420811436, 2.915963193304521e-05, 0.0022449784620148148]",element_847.json,[]
848,"[0.03935788614931403, 0.016985752390452125]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[8.04552155710073e-05, -0.00010765576139039284, 0.13138360490377185]",element_848.json,[]
849,"[0.038563499467538995, 0.016162381517320246]",2.7292272000000004e-08,"[0, 4.819269389760002e-07, 0]","[0, 0, 0]",mortar,"[6.849743592284774e-05, -7.382539346777796e-05, 0.08480862794895366]",element_849.json,[]
850,"[0.03181344097278868, 0.01824790499555278]",2.700425e-08,"[0, 4.768410465e-07, 0]","[0, 0, 0]",mortar,"[3.354924324836836e-08, -1.2507601300315948e-07, -6.544050212051449e-05]",element_850.json,[]
851,"[0.022784565596348096, 0.017261907206274334]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[1.119478198066083e-08, 1.4431215069286236e-08, -4.713232184475318e-05]",element_851.json,[]
852,"[0.021812043302545013, 0.018252057924581046]",2.700425e-08,"[0, 4.768410465e-07, 0]","[0, 0, 0]",mortar,"[-1.6566067965540443e-08, -2.782463607181413e-08, 2.154858604828473e-05]",element_852.json,[]
853,"[0.012783904806315744, 0.01726210533404017]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[7.576997591480373e-08, -2.3560417560984152e-08, -6.17193178500102e-05]",element_853.json,[]
854,"[0.011810609413615211, 0.018252270670489536]",2.700425e-08,"[0, 4.768410465e-07, 0]","[0, 0, 0]",mortar,"[1.7592598425356694e-08, -6.986443682616652e-08, -3.439452820507005e-05]",element_854.json,[]
855,"[0.06015209704020226, 0.01784499797149806]",2.700425e-08,"[0, 4.768410465e-07, 0]","[0, 0, 0]",mortar,"[4.748343108910321e-05, 1.0829929745117112e-05, 0.017494455798803762]",element_855.json,[]
856,"[0.059604188072991074, 0.017108306204368127]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00010728184406927387, 4.7819436000390337e-05, 0.017494456022101052]",element_856.json,[]
857,"[0.050122565091498074, 0.018154153069595808]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00025309393797504824, 8.448760202434148e-05, 0.5534465040264352]",element_857.json,[]
858,"[0.04940332870895709, 0.017231029146315413]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00013743346657078844, 0.00012253496070665078, 0.23570797268982607]",element_858.json,[]
