id,center,mass,dl,ll,type,displacement,shape_file,contps
164,"[0.05461041315872238, 0.020330856927635005]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7647010537860265e-05, -3.2969893644268776e-05, 2.9620183114828135e-05]",element_164.json,[]
165,"[0.05394616971644566, 0.019998334067451353]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7637161149851756e-05, -3.2950218631875714e-05, 2.962018311484128e-05]",element_165.json,[]
166,"[0.054279455181685116, 0.01999832221431977]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7637160798759825e-05, -3.296009060838562e-05, 2.9620183114833176e-05]",element_166.json,[]
167,"[0.055608837352862116, 0.020330936205805585]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.76007529265197e-05, -3.298835317462831e-05, 3.757880979133444e-05]",element_167.json,[]
168,"[0.054944581033964116, 0.01999838265155652]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.758825595975913e-05, -3.296339121276775e-05, 3.7578809791337934e-05]",element_168.json,[]
169,"[0.05527788492223979, 0.01999835383680367]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.758825487693502e-05, -3.297591637618797e-05, 3.7578809791334485e-05]",element_169.json,[]
170,"[0.05660733653963337, 0.020330986050658497]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.756368710060283e-05, -3.3002009127823206e-05, 3.072025209758025e-05]",element_170.json,[]
171,"[0.05594302329671127, 0.019998565852962415]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.754550491105473e-05, -3.297801474446163e-05, 5.237295913956488e-05]",element_171.json,[]
172,"[0.05627634973333693, 0.019998414664904013]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7553470423792e-05, -3.299184112969281e-05, 3.072025209759037e-05]",element_172.json,[]
173,"[0.057605724297955865, 0.02033104042318189]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.752037039732002e-05, -3.3028639073458144e-05, 4.015466332262566e-05]",element_173.json,[]
174,"[0.05694148070197893, 0.01999852262505186]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.750850555448466e-05, -3.300151680821754e-05, 4.2869952842767435e-05]",element_174.json,[]
175,"[0.05727477183201104, 0.01999849699517745]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.750701722792836e-05, -3.301534978861234e-05, 4.015466332261947e-05]",element_175.json,[]
176,"[0.05860418643084264, 0.02033103888163875]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.748415118406176e-05, -3.3034020388201275e-05, 3.803424825430915e-05]",element_176.json,[]
177,"[0.05793992539618697, 0.0199987063252887]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7463323975977715e-05, -3.300507145009952e-05, 6.027668600525114e-05]",element_177.json,[]
178,"[0.05827322105480034, 0.019998680625803514]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7471510187649954e-05, -3.3021432368925305e-05, 3.8034248254302256e-05]",element_178.json,[]
179,"[0.05960267334714095, 0.020331133384546205]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.744564068828635e-05, -3.3028063459407186e-05, 1.6421972824957544e-05]",element_179.json,[]
180,"[0.0589384342926115, 0.019998758116492467]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.742269767903144e-05, -3.300928539035899e-05, 6.393854681773769e-05]",element_180.json,[]
181,"[0.059271720422912275, 0.019998774700498427]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.744018270300877e-05, -3.302262855947916e-05, 1.6421972824959035e-05]",element_181.json,[]
182,"[0.06060108136753746, 0.020331184619469284]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7398530585560165e-05, -3.305380745211027e-05, 4.031252098421869e-05]",element_182.json,[]
183,"[0.059936857355886046, 0.019998646537655023]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.738520600303381e-05, -3.302705822242397e-05, 4.014760685611763e-05]",element_183.json,[]
184,"[0.06027013924210246, 0.01999864461567356]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.738512505967905e-05, -3.304046634073411e-05, 4.031252098421942e-05]",element_184.json,[]
185,"[0.06159954171187364, 0.020331193474885354]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.736700007471762e-05, -3.294123170715924e-05, -0.00017009086745360197]",element_185.json,[]
