id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
946,72.7790656,18.7478403,-0.7056599,0.7085507,-0.7085507,-0.7056599,160,161,0.7754260,0.3877130,1516,949,friction,0.7000000,0,0,0
949,72.7790656,18.7478403,0.7056599,-0.7085507,-0.7085507,-0.7056599,161,160,0.7754260,0.3877130,1517,946,friction,0.7000000,0,0,0
947,72.2296370,18.2006533,-0.7056599,0.7085507,0.7085507,0.7056599,160,161,0.7754260,0.3877130,1516,954,friction,0.7000000,0,0,0
954,72.2296370,18.2006533,0.7056599,-0.7085507,0.7085507,0.7056599,161,160,0.7754260,0.3877130,1517,947,friction,0.7000000,0,0,0
948,72.2209832,18.2034730,0.9876260,0.1568273,-0.1568273,0.9876260,160,464,0.7292884,0.3646442,1518,2769,friction,0.7000000,0,0,0
2769,72.2209832,18.2034730,-0.9876260,-0.1568273,-0.1568273,0.9876260,464,160,0.7292884,0.3646442,1519,948,friction,0.7000000,0,0,0
950,72.7888767,18.7452755,-0.9621396,-0.2725571,0.2725571,-0.9621396,161,656,0.7646022,0.3823011,1522,3921,friction,0.7000000,0,0,0
3921,72.7888767,18.7452755,0.9621396,0.2725571,0.2725571,-0.9621396,656,161,0.7646022,0.3823011,1523,950,friction,0.7000000,0,0,0
951,72.9972744,18.0096214,-0.9621396,-0.2725571,-0.2725571,0.9621396,161,656,0.7646022,0.3823011,1522,3920,friction,0.7000000,0,0,0
3920,72.9972744,18.0096214,0.9621396,0.2725571,-0.2725571,0.9621396,656,161,0.7646022,0.3823011,1523,951,friction,0.7000000,0,0,0
952,72.9902963,18.0024164,0.2416364,0.9703669,-0.9703669,0.2416364,161,445,0.7811903,0.3905951,1526,2655,friction,0.7000000,0,0,0
2655,72.9902963,18.0024164,-0.2416364,-0.9703669,-0.9703669,0.2416364,445,161,0.7811903,0.3905951,1527,952,friction,0.7000000,0,0,0
953,72.2322552,18.1911804,0.2416364,0.9703669,0.9703669,-0.2416364,161,445,0.7811903,0.3905951,1526,2654,friction,0.7000000,0,0,0
2654,72.2322552,18.1911804,-0.2416364,-0.9703669,0.9703669,-0.2416364,445,161,0.7811903,0.3905951,1527,953,friction,0.7000000,0,0,0
955,73.0026963,17.9903704,0.9629640,0.2696299,0.2696299,-0.9629640,162,465,0.7912972,0.3956486,1538,2774,friction,0.7000000,0,0,0
2774,73.0026963,17.9903704,-0.9629640,-0.2696299,0.2696299,-0.9629640,465,162,0.7912972,0.3956486,1539,955,friction,0.7000000,0,0,0
956,73.0094868,17.9968377,-0.3162278,-0.9486833,0.9486833,-0.3162278,162,662,0.7705694,0.3852847,1532,3957,friction,0.7000000,0,0,0
3957,73.0094868,17.9968377,0.3162278,0.9486833,0.9486833,-0.3162278,662,162,0.7705694,0.3852847,1533,956,friction,0.7000000,0,0,0
957,73.7405132,17.7531623,-0.3162278,-0.9486833,-0.9486833,0.3162278,162,662,0.7705694,0.3852847,1532,3956,friction,0.7000000,0,0,0
3956,73.7405132,17.7531623,0.3162278,0.9486833,-0.9486833,0.3162278,662,162,0.7705694,0.3852847,1533,957,friction,0.7000000,0,0,0
958,73.7429289,17.7429289,-0.7071068,0.7071068,-0.7071068,-0.7071068,162,163,0.7313010,0.3656505,1536,961,friction,0.7000000,0,0,0
961,73.7429289,17.7429289,0.7071068,-0.7071068,-0.7071068,-0.7071068,163,162,0.7313010,0.3656505,1537,958,friction,0.7000000,0,0,0
959,73.2258211,17.2258211,-0.7071068,0.7071068,0.7071068,0.7071068,162,163,0.7313010,0.3656505,1536,966,friction,0.7000000,0,0,0
966,73.2258211,17.2258211,0.7071068,-0.7071068,0.7071068,0.7071068,163,162,0.7313010,0.3656505,1537,959,friction,0.7000000,0,0,0
960,73.2160537,17.2283796,0.9629640,0.2696299,-0.2696299,0.9629640,162,465,0.7912972,0.3956486,1538,2775,friction,0.7000000,0,0,0
2775,73.2160537,17.2283796,-0.9629640,-0.2696299,-0.2696299,0.9629640,465,162,0.7912972,0.3956486,1539,960,friction,0.7000000,0,0,0
962,73.7530028,17.7404615,-0.9538525,-0.3002755,0.3002755,-0.9538525,163,657,0.7479186,0.3739593,1542,3927,friction,0.7000000,0,0,0
3927,73.7530028,17.7404615,0.9538525,0.3002755,0.3002755,-0.9538525,657,163,0.7479186,0.3739593,1543,962,friction,0.7000000,0,0,0
963,73.9775844,17.0270575,-0.9538525,-0.3002755,-0.3002755,0.9538525,163,657,0.7479186,0.3739593,1542,3926,friction,0.7000000,0,0,0
3926,73.9775844,17.0270575,0.9538525,0.3002755,-0.3002755,0.9538525,657,163,0.7479186,0.3739593,1543,963,friction,0.7000000,0,0,0
964,73.9709187,17.0200727,0.2553805,0.9668406,-0.9668406,0.2553805,163,446,0.7679656,0.3839828,1546,2661,friction,0.7000000,0,0,0
2661,73.9709187,17.0200727,-0.2553805,-0.9668406,-0.9668406,0.2553805,446,163,0.7679656,0.3839828,1547,964,friction,0.7000000,0,0,0
965,73.2284184,17.2161962,0.2553805,0.9668406,0.9668406,-0.2553805,163,446,0.7679656,0.3839828,1546,2660,friction,0.7000000,0,0,0
2660,73.2284184,17.2161962,-0.2553805,-0.9668406,0.9668406,-0.2553805,446,163,0.7679656,0.3839828,1547,965,friction,0.7000000,0,0,0
967,76.0361469,17.0107381,-0.2688902,0.9631708,0.9631708,0.2688902,164,517,0.7635940,0.3817970,1558,3086,friction,0.7000000,0,0,0
3086,76.0361469,17.0107381,0.2688902,-0.9631708,0.9631708,0.2688902,517,164,0.7635940,0.3817970,1559,967,friction,0.7000000,0,0,0
968,76.0293993,17.0176243,0.9575062,-0.2884128,0.2884128,0.9575062,164,607,0.7548783,0.3774392,1552,3627,friction,0.7000000,0,0,0
3627,76.0293993,17.0176243,-0.9575062,0.2884128,0.2884128,0.9575062,607,164,0.7548783,0.3774392,1553,968,friction,0.7000000,0,0,0
969,76.2471159,17.7404249,0.9575062,-0.2884128,-0.2884128,-0.9575062,164,607,0.7548783,0.3774392,1552,3626,friction,0.7000000,0,0,0
3626,76.2471159,17.7404249,-0.9575062,0.2884128,-0.2884128,-0.9575062,607,164,0.7548783,0.3774392,1553,969,friction,0.7000000,0,0,0
970,76.2570711,17.7429289,-0.7071068,-0.7071068,0.7071068,-0.7071068,164,165,0.7313010,0.3656505,1556,973,friction,0.7000000,0,0,0
973,76.2570711,17.7429289,0.7071068,0.7071068,0.7071068,-0.7071068,165,164,0.7313010,0.3656505,1557,970,friction,0.7000000,0,0,0
971,76.7741789,17.2258211,-0.7071068,-0.7071068,-0.7071068,0.7071068,164,165,0.7313010,0.3656505,1556,978,friction,0.7000000,0,0,0
978,76.7741789,17.2258211,0.7071068,0.7071068,-0.7071068,0.7071068,165,164,0.7313010,0.3656505,1557,971,friction,0.7000000,0,0,0
972,76.7716183,17.2160611,-0.2688902,0.9631708,-0.9631708,-0.2688902,164,517,0.7635940,0.3817970,1558,3087,friction,0.7000000,0,0,0
3087,76.7716183,17.2160611,0.2688902,-0.9631708,-0.9631708,-0.2688902,517,164,0.7635940,0.3817970,1559,972,friction,0.7000000,0,0,0
974,76.2594868,17.7531623,0.3162278,-0.9486833,0.9486833,0.3162278,165,532,0.7705694,0.3852847,1562,3177,friction,0.7000000,0,0,0
3177,76.2594868,17.7531623,-0.3162278,0.9486833,0.9486833,0.3162278,532,165,0.7705694,0.3852847,1563,974,friction,0.7000000,0,0,0
975,76.9905132,17.9968377,0.3162278,-0.9486833,-0.9486833,-0.3162278,165,532,0.7705694,0.3852847,1562,3176,friction,0.7000000,0,0,0
3176,76.9905132,17.9968377,-0.3162278,0.9486833,-0.9486833,-0.3162278,532,165,0.7705694,0.3852847,1563,975,friction,0.7000000,0,0,0
