id,type,cx,cy,mass,shape,dl_fx,dl_fy,dl_mz,ll_fx,ll_fy,ll_mz
119,mortar,17.6770833,18.6562500,0.2656250,element_119.json,0,0.2656250,0,0.2656250,0,0
120,mortar,22.3712484,18.6273690,0.2415155,element_120.json,0,0.2415155,0,0.2415155,0,0
121,mortar,22.6695675,18.3161645,0.2727465,element_121.json,0,0.2727465,0,0.2727465,0,0
122,mortar,23.3229167,17.6562500,0.2656250,element_122.json,0,0.2656250,0,0.2656250,0,0
123,mortar,23.6497790,17.3287563,0.2558150,element_123.json,0,0.2558150,0,0.2558150,0,0
124,mortar,26.3525884,17.3255997,0.2564438,element_124.json,0,0.2564438,0,0.2564438,0,0
125,mortar,26.6770833,17.6562500,0.2656250,element_125.json,0,0.2656250,0,0.2656250,0,0
126,mortar,27.3437500,18.3229167,0.2656250,element_126.json,0,0.2656250,0,0.2656250,0,0
127,mortar,27.6770833,18.6562500,0.2656250,element_127.json,0,0.2656250,0,0.2656250,0,0
128,mortar,32.3712484,18.6273690,0.2415155,element_128.json,0,0.2415155,0,0.2415155,0,0
129,mortar,32.6695675,18.3161645,0.2727465,element_129.json,0,0.2727465,0,0.2727465,0,0
130,mortar,33.3229167,17.6562500,0.2656250,element_130.json,0,0.2656250,0,0.2656250,0,0
131,mortar,33.6497790,17.3287563,0.2558150,element_131.json,0,0.2558150,0,0.2558150,0,0
132,mortar,36.3525884,17.3255997,0.2564438,element_132.json,0,0.2564438,0,0.2564438,0,0
133,mortar,36.6770833,17.6562500,0.2656250,element_133.json,0,0.2656250,0,0.2656250,0,0
134,mortar,37.3437500,18.3229167,0.2656250,element_134.json,0,0.2656250,0,0.2656250,0,0
135,mortar,37.6770833,18.6562500,0.2656250,element_135.json,0,0.2656250,0,0.2656250,0,0
136,mortar,42.3712484,18.6273690,0.2415155,element_136.json,0,0.2415155,0,0.2415155,0,0
137,mortar,42.6695675,18.3161645,0.2727465,element_137.json,0,0.2727465,0,0.2727465,0,0
138,mortar,43.3229167,17.6562500,0.2656250,element_138.json,0,0.2656250,0,0.2656250,0,0
139,mortar,43.6497790,17.3287563,0.2558150,element_139.json,0,0.2558150,0,0.2558150,0,0
140,mortar,46.3525884,17.3255997,0.2564438,element_140.json,0,0.2564438,0,0.2564438,0,0
141,mortar,46.6770833,17.6562500,0.2656250,element_141.json,0,0.2656250,0,0.2656250,0,0
142,mortar,47.3437500,18.3229167,0.2656250,element_142.json,0,0.2656250,0,0.2656250,0,0
143,mortar,47.6770833,18.6562500,0.2656250,element_143.json,0,0.2656250,0,0.2656250,0,0
144,mortar,52.3712484,18.6273690,0.2415155,element_144.json,0,0.2415155,0,0.2415155,0,0
145,mortar,52.6695675,18.3161645,0.2727465,element_145.json,0,0.2727465,0,0.2727465,0,0
146,mortar,53.3229167,17.6562500,0.2656250,element_146.json,0,0.2656250,0,0.2656250,0,0
147,mortar,53.6497790,17.3287563,0.2558150,element_147.json,0,0.2558150,0,0.2558150,0,0
148,mortar,56.3525884,17.3255997,0.2564438,element_148.json,0,0.2564438,0,0.2564438,0,0
149,mortar,56.6770833,17.6562500,0.2656250,element_149.json,0,0.2656250,0,0.2656250,0,0
150,mortar,57.3304325,18.3161645,0.2727465,element_150.json,0,0.2727465,0,0.2727465,0,0
151,mortar,57.6287516,18.6273690,0.2415155,element_151.json,0,0.2415155,0,0.2415155,0,0
152,mortar,62.3229167,18.6562500,0.2656250,element_152.json,0,0.2656250,0,0.2656250,0,0
153,mortar,62.6562500,18.3229167,0.2656250,element_153.json,0,0.2656250,0,0.2656250,0,0
154,mortar,63.3229167,17.6562500,0.2656250,element_154.json,0,0.2656250,0,0.2656250,0,0
155,mortar,63.6497790,17.3287563,0.2558150,element_155.json,0,0.2558150,0,0.2558150,0,0
156,mortar,66.3525884,17.3255997,0.2564438,element_156.json,0,0.2564438,0,0.2564438,0,0
157,mortar,66.6770833,17.6562500,0.2656250,element_157.json,0,0.2656250,0,0.2656250,0,0
158,mortar,67.3437500,18.3229167,0.2656250,element_158.json,0,0.2656250,0,0.2656250,0,0
159,mortar,67.6770833,18.6562500,0.2656250,element_159.json,0,0.2656250,0,0.2656250,0,0
160,mortar,72.3712484,18.6273690,0.2415155,element_160.json,0,0.2415155,0,0.2415155,0,0
161,mortar,72.6695675,18.3161645,0.2727465,element_161.json,0,0.2727465,0,0.2727465,0,0
162,mortar,73.3229167,17.6562500,0.2656250,element_162.json,0,0.2656250,0,0.2656250,0,0
163,mortar,73.6497790,17.3287563,0.2558150,element_163.json,0,0.2558150,0,0.2558150,0,0
164,mortar,76.3525884,17.3255997,0.2564438,element_164.json,0,0.2564438,0,0.2564438,0,0
165,mortar,76.6770833,17.6562500,0.2656250,element_165.json,0,0.2656250,0,0.2656250,0,0
166,mortar,77.3437500,18.3229167,0.2656250,element_166.json,0,0.2656250,0,0.2656250,0,0
167,mortar,77.6770833,18.6562500,0.2656250,element_167.json,0,0.2656250,0,0.2656250,0,0
168,mortar,82.3712484,18.6273690,0.2415155,element_168.json,0,0.2415155,0,0.2415155,0,0
169,mortar,82.6695675,18.3161645,0.2727465,element_169.json,0,0.2727465,0,0.2727465,0,0
170,mortar,83.3229167,17.6562500,0.2656250,element_170.json,0,0.2656250,0,0.2656250,0,0
171,mortar,83.6497790,17.3287563,0.2558150,element_171.json,0,0.2558150,0,0.2558150,0,0
172,mortar,86.3525884,17.3255997,0.2564438,element_172.json,0,0.2564438,0,0.2564438,0,0
173,mortar,86.6770833,17.6562500,0.2656250,element_173.json,0,0.2656250,0,0.2656250,0,0
174,mortar,87.3437500,18.3229167,0.2656250,element_174.json,0,0.2656250,0,0.2656250,0,0
